Sat.Earth.RMAG            Sat.EarthMJ2000Eq.VMAG    Sat.Earth.TA              Sat.Earth.SMA             Sat.Earth.ECC             Sat.EarthMJ2000Eq.FPA     Sat.ElapsedSecs           Sat.Earth.SemilatusRectum   
12756.2726                6.901728991643622         292.7778520697891         26822.001127399           0.6379258954755657        115.252347957933          0                         15906.80257117549           
12726.85983764531         6.91218441933801          293.0588727361916         26822.00112739899         0.6379258954755657        115.1556080988459         10.00000013737008         15906.80257117549           
12697.50856451478         6.922650424875487         293.3411939696822         26822.00112739899         0.6379258954755656        115.0582876320525         19.99999996041879         15906.80257117549           
12668.21977949504         6.933126633460368         293.6248220472269         26822.00112739902         0.637925895475566         114.9603836390259         30.00000009778887         15906.8025711755            
12638.99449124101         6.943612661903389         293.9097632267825         26822.001127399           0.6379258954755658        114.8618932084502         39.99999992083758         15906.80257117549           
12609.83371822041         6.954108118507166         294.1960237456211         26822.00112739904         0.637925895475566         114.7628134369808         50.00000005820766         15906.8025711755            
12580.73848875667         6.964612602951503         294.4836098186124         26822.00112739902         0.6379258954755658        114.6631414300242         59.99999988125637         15906.80257117549           
12551.70984107033         6.975125706178606         294.772527636465          26822.00112739898         0.6379258954755656        114.5628743025364         70.00000001862645         15906.80257117548           
12522.74882331869         6.985647010278266         295.0627833639254         26822.00112739899         0.6379258954755657        114.4620091798423         80.00000015599653         15906.80257117549           
12493.85649363381         6.996176088373069         295.3543831379336         26822.00112739902         0.637925895475566         114.3605431984739         89.99999997904524         15906.8025711755            
12465.03392015855         7.006712504503727         295.647333065736          26822.00112739902         0.637925895475566         114.2584735070297         100.0000001164153         15906.80257117549           
12436.2821810809          7.017255813514571         295.9416392229547         26822.00112739905         0.6379258954755661        114.1557972670541         109.999999939464          15906.8025711755            
12407.60236466622         7.027805560939298         296.2373076516114         26822.001127399           0.6379258954755657        114.0525116539376         120.0000000768341         15906.8025711755            
12378.99556928746         7.038361282887063         296.5343443581082         26822.00112739903         0.6379258954755659        113.948613857838          129.9999998998828         15906.8025711755            
12350.46290345328         7.048922505928958         296.8327553111615         26822.00112739904         0.6379258954755662        113.8441010846232         140.0000000372529         15906.80257117551           
12322.00548583398         7.059488746984997         297.1325464396912         26822.00112739902         0.6379258954755659        113.7389705568346         149.9999998603016         15906.8025711755            
12293.62444528511         7.07005951321169          297.4337236306636         26822.00112739903         0.637925895475566         113.6332195146729         159.9999999976717         15906.80257117551           
12265.32092086876         7.080634301890268         297.7362927268881         26822.00112739905         0.6379258954755661        113.5268452170056         170.0000001350418         15906.8025711755            
12237.09606187235         7.091212600315699         298.0402595247651         26822.00112739902         0.637925895475566         113.419844942396          179.9999999580905         15906.80257117551           
12208.95102782489         7.101793885686544         298.3456297719903         26822.001127399           0.6379258954755658        113.3122159901554         190.0000000954606         15906.80257117551           
12180.88698851069         7.112377624995792         298.6524091652072         26822.00112739907         0.6379258954755663        113.2039556814166         199.9999999185093         15906.80257117551           
12152.9051239802          7.122963274922741         298.9606033476145         26822.00112739907         0.6379258954755662        113.0950613602312         210.0000000558794         15906.80257117551           
12125.00662455824         7.133550281726074         299.2702179065236         26822.00112739905         0.6379258954755662        112.9855303946884         219.9999998789281         15906.80257117552           
12097.19269084916         7.144138081138209         299.5812583708691         26822.00112739913         0.6379258954755669        112.8753601780575         230.0000000162981         15906.80257117552           
12069.46453373905         7.154726098261031         299.8937302086683         26822.00112739909         0.6379258954755664        112.7645481299535         240.0000001536682         15906.80257117552           
12041.82337439497         7.165313747463167         300.2076388244336         26822.00112739905         0.6379258954755662        112.653091697525          249.9999999767169         15906.80257117552           
12014.27044426085         7.175900432278879         300.5229895565351         26822.0011273991          0.6379258954755667        112.5409883566663         260.000000114087          15906.80257117552           
11986.80698505013         7.18648554530871          300.8397876745129         26822.00112739907         0.6379258954755663        112.4282356132521         269.9999999371357         15906.80257117552           
11959.43424873512         7.197068468122038         301.158038376341          26822.00112739909         0.6379258954755662        112.314831004396          280.0000000745058         15906.80257117552           
11932.15349753275         7.207648571161635         301.4777467856409         26822.0011273991          0.6379258954755666        112.2007720997325         289.9999998975545         15906.80257117552           
11904.96600388681         7.218225213650387         301.7989179488461         26822.00112739902         0.6379258954755656        112.086056502722          300.0000000349246         15906.80257117551           
11877.87305044644         7.228797743500314         302.1215568323165         26822.00112739902         0.6379258954755657        111.9706818519803         309.9999998579733         15906.80257117551           
11850.8759300409          7.239365497224012         302.4456683194026         26822.00112739903         0.6379258954755657        111.8546458226301         319.9999999953434         15906.80257117551           
11823.97594565032         7.249927799848694         302.7712572074615         26822.00112739904         0.6379258954755658        111.7379461276778         330.0000001327135         15906.80257117551           
11797.17441037261         7.260483964832962         303.0983282048221         26822.00112739904         0.6379258954755658        111.6205805194123         339.9999999557622         15906.80257117551           
11770.47264738607         7.271033293986456         303.4268859277014         26822.001127399           0.6379258954755653        111.5025467908281         350.0000000931323         15906.8025711755            
11743.87198990791         7.281575077392569         303.7569348970725         26822.00112739895         0.6379258954755648        111.3838427770712         359.999999916181          15906.80257117549           
11717.37378114834         7.292108593334345         304.088479535482          26822.00112739893         0.6379258954755646        111.2644663569088         370.000000053551          15906.80257117549           
11690.97937426033         7.302633108223768         304.4215241638203         26822.00112739897         0.6379258954755649        111.1444154542213         379.9999998765998         15906.80257117549           
11664.69013228465         7.313147876534567         304.7560729980434         26822.00112739899         0.6379258954755651        111.023688039518          390.0000000139698         15906.8025711755            
11638.5074280904          7.323652140738757         305.0921301458467         26822.00112739898         0.6379258954755651        110.9022821314754         400.0000001513399         15906.80257117549           
