Sat.Earth.RMAG            Sat.EarthMJ2000Eq.VMAG    Sat.Earth.TA              Sat.Earth.SMA             Sat.Earth.ECC             Sat.EarthMJ2000Eq.FPA     Sat.ElapsedSecs           Sat.Earth.SemilatusRectum   
12756.2726                7.594535806797637         337.250747985324          82734.26567483804         0.8513320108585536        100.4490948550814         0                         22771.26693482382           
12742.59531389216         7.598950785101104         337.5865664172227         82734.26567483779         0.851332010858553         100.2952031663922         10.00000013737008         22771.26693482381           
12729.11122727511         7.60331016933688          337.9231014231415         82734.26567483804         0.8513320108585536        100.1409668903942         19.99999996041879         22771.26693482382           
12715.82121535304         7.607613404329772         338.2603450330603         82734.26567483804         0.8513320108585536        99.9863898456062          30.00000009778887         22771.26693482382           
12702.72614491099         7.611859938639355         338.5982891430319         82734.26567483816         0.8513320108585537        99.83147591547311         39.99999992083758         22771.26693482382           
12689.8268740992          7.616049224748253         338.9369255157141         82734.26567483766         0.8513320108585529        99.67622904811185         50.00000005820766         22771.26693482381           
12677.12425221758         7.620180719251104         339.2762457809607         82734.26567483791         0.8513320108585534        99.52065325602905         59.99999988125637         22771.26693482381           
12664.61911950073         7.624253883044029         339.616241436467          82734.26567483779         0.8513320108585531        99.36475261581117         70.00000001862645         22771.26693482381           
12652.3123069034          7.628268181514566         339.9569038484753         82734.26567483779         0.851332010858553         99.20853126778658         80.00000015599653         22771.26693482381           
12640.2046358866          7.632223084731889         340.2982242525373         82734.26567483743         0.8513320108585525        99.05199341565928         89.99999997904524         22771.26693482379           
12628.2969182044          7.636118067637236         340.6401937543348         82734.2656748373          0.8513320108585525        98.89514332611427         100.0000001164153         22771.26693482379           
12616.58995569165         7.639952610234398         340.9828033305592         82734.26567483705         0.8513320108585519        98.73798532839446         109.999999939464          22771.26693482379           
12605.08454005255         7.643726197780167         341.3260438298504         82734.26567483718         0.851332010858552         98.58052381384874         120.0000000768341         22771.26693482378           
12593.78145265043         7.647438320974591         341.669905973794          82734.26567483743         0.8513320108585527        98.42276323545133         129.9999998998828         22771.26693482379           
12582.68146429857         7.651088476150944         342.0143803579784         82734.26567483791         0.8513320108585534        98.26470810729218         140.0000000372529         22771.26693482381           
12571.78533505241         7.654676165465254         342.3594574531115         82734.26567483766         0.851332010858553         98.1063630040385          149.9999998603016         22771.26693482379           
12561.0938140032          7.658200897085272         342.7051276061962         82734.26567483791         0.8513320108585533        97.9477325603672          159.9999999976717         22771.26693482379           
12550.60763907307         7.661662185378744         343.051381041766          82734.26567483791         0.8513320108585534        97.78882147036839         170.0000001350418         22771.26693482379           
12540.3275368119          7.665059551100862         343.3982078631809         82734.26567483791         0.8513320108585534        97.6296344869198          179.9999999580905         22771.26693482381           
12530.25422219583         7.66839252158075          343.7455980539805         82734.26567483779         0.8513320108585531        97.47017642103224         190.0000000954606         22771.26693482381           
12520.38839842775         7.671660630906861         344.0935414792992         82734.26567483816         0.8513320108585536        97.31045214116619         199.9999999185093         22771.26693482381           
12510.73075673974         7.674863420111134         344.4420278873391         82734.26567483827         0.8513320108585539        97.15046657251942         210.0000000558794         22771.26693482382           
12501.28197619768         7.67800043735179          344.7910469109021         82734.26567483816         0.8513320108585538        96.99022469628589         219.9999998789281         22771.26693482382           
