Time - Sim theta,Amplitude - Sim theta,Time - encoder theta,Amplitude - encoder theta,Time - reference input,Amplitude - reference input
0,0,0,0,0,0
1,0.000207833,1,0,1,0.00314157
2,0.00074774,2,0,2,0.00628302
3,0.00167602,3,0,3,0.00942422
4,0.00300213,4,0,4,0.012565
5,0.00470517,5,0,5,0.0157054
6,0.0067464,6,0,6,0.0188451
7,0.00907838,7,0,7,0.0219841
8,0.0116513,8,0.00153398,8,0.0251222
9,0.0144142,9,0.00306796,9,0.0282593
10,0.0173219,10,0.00460194,10,0.0313953
11,0.0203362,11,0.00613592,11,0.03453
12,0.0234254,12,0.0076699,12,0.0376634
13,0.0265646,13,0.00920388,13,0.0407953
14,0.0297343,14,0.0122718,14,0.0439256
15,0.0329171,15,0.0153398,15,0.0470542
16,0.0361012,16,0.0184078,16,0.0501809
17,0.0392791,17,0.0214757,17,0.0533056
18,0.0424463,18,0.0245437,18,0.0564282
19,0.045601,19,0.0291456,19,0.0595486
20,0.0487395,20,0.0306796,20,0.0626666
21,0.0518672,21,0.0337476,21,0.0657822
22,0.0549845,22,0.0368155,22,0.0688951
23,0.0580928,23,0.0414175,23,0.0720054
24,0.0611901,24,0.0444854,24,0.0751128
25,0.0642792,25,0.0475534,25,0.0782172
26,0.0673623,26,0.0506214,26,0.0813186
27,0.0704409,27,0.0536893,27,0.0844167
28,0.0735165,28,0.0567573,28,0.0875115
29,0.0765897,29,0.0598253,29,0.0906029
30,0.0796611,30,0.0628932,30,0.0936907
31,0.0827309,31,0.0659612,31,0.0967747
32,0.0857994,32,0.0690291,32,0.099855
33,0.0888663,33,0.0720971,33,0.102931
34,0.0919316,34,0.0751651,34,0.106004
35,0.0949951,35,0.078233,35,0.109072
36,0.0980565,36,0.079767,36,0.112135
37,0.101119,37,0.0843689,37,0.115195
38,0.104177,38,0.0859029,38,0.118249
39,0.107234,39,0.0889709,39,0.1213
40,0.110289,40,0.0920388,40,0.124345
41,0.11334,41,0.0951068,41,0.127385
42,0.116388,42,0.0997088,42,0.130421
43,0.119428,43,0.102777,43,0.133451
44,0.122462,44,0.105845,44,0.136476
45,0.12549,45,0.108913,45,0.139496
46,0.128514,46,0.111981,46,0.14251
47,0.131532,47,0.115049,47,0.145518
48,0.134547,48,0.118117,48,0.148521
49,0.137556,49,0.122718,49,0.151518
50,0.140559,50,0.125786,50,0.154508
51,0.143555,51,0.12732,51,0.157493
52,0.146549,52,0.130388,52,0.160472
53,0.149539,53,0.133456,53,0.163444
54,0.152526,54,0.138058,54,0.16641
55,0.155504,55,0.139592,55,0.169369
56,0.158479,56,0.14266,56,0.172321
57,0.161449,57,0.145728,57,0.175267
58,0.164414,58,0.148796,58,0.178206
59,0.167372,59,0.151864,59,0.181138
60,0.170325,60,0.154932,60,0.184062
61,0.17327,61,0.158,61,0.18698
62,0.176209,62,0.161068,62,0.18989
63,0.179141,63,0.162602,63,0.192792
64,0.182068,64,0.16567,64,0.195687
65,0.18499,65,0.168738,65,0.198574
66,0.187904,66,0.171806,66,0.201453
67,0.190811,67,0.17334,67,0.204325
68,0.193713,68,0.176408,68,0.207188
69,0.196608,69,0.179476,69,0.210043
70,0.199494,70,0.182544,70,0.21289
71,0.202372,71,0.185612,71,0.215728
72,0.20524,72,0.18868,72,0.218558
73,0.208099,73,0.191748,73,0.221379
74,0.210948,74,0.194816,74,0.224192
75,0.213788,75,0.197884,75,0.226995
76,0.216618,76,0.200951,76,0.22979
77,0.219439,77,0.204019,77,0.232576
78,0.22225,78,0.207087,78,0.235352
79,0.225052,79,0.210155,79,0.238119
80,0.227845,80,0.213223,80,0.240877
81,0.230629,81,0.214757,81,0.243625
82,0.233406,82,0.217825,82,0.246364
83,0.236176,83,0.220893,83,0.249093
84,0.238937,84,0.223961,84,0.251812
85,0.241689,85,0.227029,85,0.254521
86,0.24443,86,0.230097,86,0.25722
87,0.247162,87,0.231631,87,0.259909
88,0.249885,88,0.234699,88,0.262587
89,0.2526,89,0.237767,89,0.265256
90,0.255305,90,0.240835,90,0.267913
91,0.257998,91,0.243903,91,0.270561
92,0.260681,92,0.246971,92,0.273197
93,0.263352,93,0.248505,93,0.275823
94,0.266015,94,0.251573,94,0.278438
95,0.268668,95,0.253107,95,0.281042
96,0.271312,96,0.256175,96,0.283634
97,0.273947,97,0.257709,97,0.286216
98,0.276573,98,0.260777,98,0.288786
99,0.279189,99,0.262311,99,0.291345
100,0.281795,100,0.265379,100,0.293893
101,0.28439,101,0.268447,101,0.296428
102,0.286972,102,0.271515,102,0.298952
103,0.28954,103,0.273049,103,0.301465
104,0.292097,104,0.277651,104,0.303965
105,0.294638,105,0.279185,105,0.306454
106,0.297167,106,0.282252,106,0.30893
107,0.299683,107,0.28532,107,0.311394
108,0.302186,108,0.288388,108,0.313846
109,0.304675,109,0.291456,109,0.316285
110,0.307151,110,0.294524,110,0.318712
111,0.309613,111,0.296058,111,0.321126
112,0.312065,112,0.299126,112,0.323528
113,0.314505,113,0.30066,113,0.325917
114,0.316935,114,0.303728,114,0.328293
115,0.319354,115,0.306796,115,0.330656
116,0.321761,116,0.30833,116,0.333006
117,0.324156,117,0.311398,117,0.335343
118,0.326539,118,0.312932,118,0.337666
119,0.328911,119,0.316,119,0.339977
120,0.33127,120,0.317534,120,0.342274
121,0.333617,121,0.320602,121,0.344557
122,0.335951,122,0.322136,122,0.346827
123,0.338273,123,0.325204,123,0.349083
124,0.34058,124,0.326738,124,0.351325
125,0.342875,125,0.329806,125,0.353553
126,0.345156,126,0.33134,126,0.355768
127,0.347423,127,0.332874,127,0.357968
128,0.349679,128,0.334408,128,0.360155
129,0.351922,129,0.335942,129,0.362327
130,0.354154,130,0.337476,130,0.364484
131,0.356374,131,0.340544,131,0.366628
132,0.358579,132,0.342078,132,0.368757
133,0.360768,133,0.343612,133,0.370871
134,0.362944,134,0.34668,134,0.372971
135,0.365103,135,0.348214,135,0.375056
136,0.367246,136,0.349748,136,0.377126
137,0.369375,137,0.352816,137,0.379181
138,0.371487,138,0.35435,138,0.381221
139,0.373583,139,0.355884,139,0.383247
140,0.375664,140,0.358952,140,0.385257
141,0.377729,141,0.360485,141,0.387252
142,0.379778,142,0.362019,142,0.389231
143,0.381813,143,0.365087,143,0.391195
144,0.38383,144,0.366621,144,0.393144
145,0.385833,145,0.368155,145,0.395078
146,0.38782,146,0.371223,146,0.396995
147,0.389791,147,0.372757,147,0.398897
148,0.391746,148,0.375825,148,0.400783
149,0.393684,149,0.377359,149,0.402654
150,0.395606,150,0.380427,150,0.404508
151,0.39751,151,0.381961,151,0.406347
152,0.399399,152,0.385029,152,0.40817
153,0.40127,153,0.386563,153,0.409976
154,0.403126,154,0.388097,154,0.411766
155,0.404967,155,0.391165,155,0.41354
156,0.406792,156,0.392699,156,0.415298
157,0.408602,157,0.394233,157,0.417039
158,0.410397,158,0.397301,158,0.418764
159,0.412175,159,0.398835,159,0.420472
160,0.413937,160,0.400369,160,0.422164
161,0.415685,161,0.401903,161,0.423839
162,0.417418,162,0.403437,162,0.425497
163,0.419136,163,0.404971,163,0.427139
164,0.42084,164,0.406505,164,0.428763
165,0.422528,165,0.408039,165,0.430371
166,0.424201,166,0.409573,166,0.431962
167,0.425857,167,0.411107,167,0.433535
168,0.427498,168,0.412641,168,0.435092
169,0.429121,169,0.414175,169,0.436631
170,0.430728,170,0.415709,170,0.438153
171,0.432317,171,0.415709,171,0.439658
172,0.433892,172,0.417243,172,0.441146
173,0.435451,173,0.418777,173,0.442616
174,0.436993,174,0.420311,174,0.444068
175,0.438516,175,0.421845,175,0.445503
176,0.440021,176,0.423379,176,0.446921
177,0.441507,177,0.424913,177,0.448321
178,0.442975,178,0.426447,178,0.449703
179,0.444423,179,0.426447,179,0.451067
180,0.445855,180,0.427981,180,0.452414
181,0.447271,181,0.429515,181,0.453742
182,0.448668,182,0.431049,182,0.455053
