Time - Plot 0,Amplitude - Plot 0,Time - vactual,Amplitude - vactual
0,0,0,0
1,0.12965,1,0.133524
2,0.254269,2,0.266222
3,0.364568,3,0.397903
4,0.458208,4,0.512637
5,0.53432,5,0.594587
6,0.593355,6,0.691291
7,0.638474,7,0.755244
8,0.670196,8,0.818178
9,0.691642,9,0.832619
10,0.703394,10,0.861972
11,0.709318,11,0.890368
12,0.710464,12,0.886129
13,0.707164,13,0.896765
14,0.701972,14,0.890547
15,0.694691,15,0.883278
16,0.686427,16,0.859071
17,0.677126,17,0.849545
18,0.668069,18,0.83877
19,0.6589,19,0.826674
20,0.649695,20,0.797354
21,0.640002,21,0.79825
22,0.631289,22,0.781741
23,0.621997,23,0.763613
24,0.612592,24,0.75962
25,0.603505,25,0.738007
26,0.593688,26,0.730389
27,0.584097,27,0.705013
28,0.573703,28,0.693501
29,0.563479,29,0.679929
30,0.552889,30,0.664235
31,0.541912,31,0.646361
32,0.530543,32,0.642077
33,0.519254,33,0.635466
34,0.507519,34,0.626477
35,0.495337,35,0.615057
36,0.482716,36,0.601157
37,0.469674,37,0.584729
38,0.456235,38,0.581554
39,0.442895,39,0.559901
40,0.428673,40,0.551415
41,0.414586,41,0.540195
42,0.400134,42,0.510376
43,0.384856,43,0.493605
44,0.369779,44,0.489818
45,0.354879,45,0.483122
46,0.339636,46,0.457658
47,0.323579,47,0.445082
48,0.30773,48,0.42951
49,0.291593,49,0.426744
50,0.275655,50,0.405074
51,0.258932,51,0.380338
52,0.241966,52,0.352515
53,0.224793,53,0.337418
54,0.207915,54,0.319171
55,0.190825,55,0.29776
56,0.173534,56,0.273174
57,0.156057,57,0.261233
58,0.138888,58,0.246069
59,0.121517,59,0.227679
60,0.103953,60,0.206059
61,0.0862155,61,0.197037
62,0.0688028,62,0.184756
63,0.0512092,63,0.16922
64,0.0334492,64,0.166264
65,0.0160198,65,0.14421
66,-0.00205623,66,0.134754
67,-0.019755,67,0.122051
68,-0.0375683,68,0.106115
69,-0.0554734,69,0.086963
70,-0.0734421,70,0.0646135
71,-0.0914441,71,0.0390863
72,-0.109449,72,0.0104034
73,-0.127427,73,-0.0214119
74,-0.145352,74,-0.0563347
75,-0.163199,75,-0.0943384
76,-0.180947,76,-0.135395
77,-0.198575,77,-0.179474
78,-0.216067,78,-0.210717
79,-0.232935,79,-0.260776
80,-0.250171,80,-0.297931
81,-0.26677,81,-0.322173
82,-0.282771,82,-0.349323
83,-0.298705,83,-0.363511
84,-0.314101,84,-0.396378
85,-0.329954,85,-0.416192
86,-0.345251,86,-0.422934
87,-0.360016,87,-0.448242
88,-0.375234,88,-0.460374
89,-0.389884,89,-0.490964
90,-0.40493,90,-0.50827
91,-0.419339,91,-0.528093
92,-0.433601,92,-0.534546
93,-0.447216,93,-0.559256
94,-0.461166,94,-0.554647
95,-0.473956,95,-0.584029
96,-0.487563,96,-0.599792
97,-0.500442,97,-0.601901
98,-0.512607,98,-0.621976
99,-0.525043,99,-0.644091
100,-0.537208,100,-0.652348
101,-0.548596,101,-0.662536
102,-0.559714,102,-0.674583
103,-0.570554,103,-0.688419
104,-0.5811,104,-0.703968
105,-0.591334,105,-0.70533
106,-0.600765,106,-0.724116
107,-0.61038,107,-0.728562
108,-0.619168,108,-0.75028
109,-0.62811,109,-0.757505
110,-0.636192,110,-0.750189
111,-0.643448,111,-0.759941
112,-0.65088,112,-0.754993
113,-0.657484,113,-0.766952
114,-0.664246,114,-0.779877
115,-0.670625,115,-0.793689
116,-0.676594,116,-0.792477
117,-0.681659,117,-0.807846
118,-0.686812,118,-0.808028
119,-0.691048,119,-0.824627
120,-0.695357,120,-0.810047
121,-0.698262,121,-0.827578
122,-0.701758,122,-0.813764
123,-0.70385,123,-0.831895
124,-0.706526,124,-0.834343
125,-0.708258,125,-0.821056
126,-0.709078,126,-0.839465
127,-0.710466,127,-0.826115
128,-0.710419,128,-0.828468
129,-0.71045,129,-0.846411
130,-0.710514,130,-0.832349
131,-0.70912,131,-0.833745
132,-0.707788,132,-0.850487
133,-0.706477,133,-0.83498
134,-0.703704,134,-0.850519
135,-0.701465,135,-0.833651
136,-0.69777,136,-0.847669
137,-0.694616,137,-0.829124
138,-0.690014,138,-0.825482
139,-0.685488,139,-0.836637
140,-0.681001,140,-0.814998
141,-0.675072,141,-0.823862
142,-0.6697,142,-0.799782
143,-0.662897,143,-0.790231
144,-0.65619,144,-0.795104
145,-0.649544,145,-0.782644
146,-0.641952,146,-0.784466
147,-0.634407,147,-0.768817
148,-0.625916,148,-0.767313
149,-0.617483,149,-0.76403
150,-0.608595,150,-0.743076
151,-0.598779,151,-0.736072
152,-0.589051,152,-0.727098
153,-0.578902,153,-0.716091
154,-0.568337,154,-0.702992
155,-0.557365,155,-0.687743
156,-0.545999,156,-0.686114
157,-0.534723,157,-0.666364
158,-0.522546,158,-0.644296
159,-0.510001,159,-0.635687
160,-0.497586,160,-0.624626
161,-0.484787,161,-0.611066
162,-0.471608,162,-0.594958
163,-0.458059,163,-0.592085
164,-0.444627,164,-0.570717
