Time - Plot 0,Amplitude - Plot 0,Time - vactual,Amplitude - vactual
0,5.15915,0,5.31332
1,4.9622,1,5.14135
2,4.39452,2,4.63297
3,3.72711,3,4.02985
4,3.04542,4,3.36612
5,2.40078,5,2.67489
6,1.82359,6,2.09932
7,1.33221,7,1.54435
8,0.926741,8,1.0414
9,0.604311,9,0.669162
10,0.359226,10,0.458553
11,0.181947,11,0.266317
12,0.0568858,12,0.123598
13,-0.0255336,13,0.0298706
14,-0.074911,14,-0.0153291
15,-0.0995773,15,-0.0440566
16,-0.107444,16,-0.0407576
17,-0.10355,17,-0.0373344
18,-0.0931584,18,-0.0339218
19,-0.0794009,19,-0.0306125
20,-0.0644853,20,-0.0274664
21,-0.0498863,21,-0.0245179
22,-0.0365146,22,-0.0217823
23,-0.024863,23,-0.0192616
24,-0.0151259,24,-0.0169488
25,-0.00729577,25,-0.0148312
26,-0.00123765,26,-0.0128932
27,0.00325505,27,-0.0111178
28,0.00642036,28,-0.00948813
29,0.00850017,29,-0.00798836
30,0.00972252,30,-0.00660385
31,0.0102912,31,-0.00532164
32,0.010381,32,-0.00413038
33,0.0101364,33,-0.00302032
34,0.00967277,34,-0.00198317
35,0.00907947,35,-0.00101188
36,0.0084231,36,-0.000100535
37,0.00775135,37,0.000755873
38,0.00709664,38,0.0015616
39,0.00647944,39,0.00232028
40,0.00591126,40,0.00303508
41,0.00539706,41,0.00370877
42,0.00493725,42,0.00434381
43,0.00452931,43,0.00494244
44,0.00416893,44,0.0055067
45,0.00385097,45,0.00603851
46,0.00357,46,0.00653963
47,0.00332078,47,0.00701175
48,0.00309847,48,0.00745645
49,0.00289878,49,0.00787525
50,0.00271804,50,0.00826957
51,0.00255315,51,0.0086408
52,0.00240159,52,0.00899024
53,0.00226131,53,0.00931913
54,0.0021307,54,0.00962865
55,0.00200849,55,0.00991991
56,0.0018937,56,0.010194
57,0.00178556,57,0.0104519
58,0.00168348,58,0.0106945
59,0.00158701,59,0.0109229
60,0.00149577,60,0.0111377
61,0.00140946,61,0.0113398
62,0.00132783,62,0.01153
63,0.00125065,63,0.011709
64,0.00117771,64,0.0118774
65,0.00110882,65,0.0120358
66,0.0010438,66,0.0121849
67,0.000982456,67,0.0123252
68,0.000924619,68,0.0124572
69,0.000870113,69,0.0125814
70,0.000818769,70,0.0126983
71,0.000770419,71,0.0128083
72,0.000724904,72,0.0129118
73,0.000682065,73,0.0130092
74,0.000641754,74,0.0131008
75,0.000603826,75,0.013187
76,0.000568142,76,0.0132682
77,0.000534572,77,0.0133445
78,0.000502991,78,0.0134164
79,0.000473282,79,0.013484
80,0.000445332,80,0.0135476
81,0.000419039,81,0.0136075
82,0.000394301,82,0.0136639
83,0.000371028,83,0.0137169
84,0.000349131,84,0.0137668
85,0.000328528,85,0.0138137
86,0.000309143,86,0.0138579
87,0.000290902,87,0.0138995
88,0.000273739,88,0.0139386
89,0.000257589,89,0.0139754
90,0.000242392,90,0.01401
91,0.000228092,91,0.0140426
92,0.000214635,92,0.0140733
93,0.000201973,93,0.0141021
94,0.000190057,94,0.0141293
95,0.000178844,95,0.0141549
96,0.000168293,96,0.0141789
97,0.000158364,97,0.0142015
98,0.000149021,98,0.0142228
99,0.000140228,99,0.0142429
100,0.000131955,100,0.0142617
101,0.000124169,101,0.0142795
102,0.000116843,102,0.0142962
103,0.000109949,103,0.0143119
104,0.000103462,104,0.0143267
105,9.74E-05,105,0.0143406
106,9.16E-05,106,0.0143537
107,8.62E-05,107,0.014366
108,8.11E-05,108,0.0143776
109,7.63E-05,109,0.0143885
110,7.18E-05,110,0.0143987
111,6.76E-05,111,0.0144084
112,6.36E-05,112,0.0144175
113,5.99E-05,113,0.014426
114,5.63E-05,114,0.0144341
115,5.30E-05,115,0.0144417
116,4.99E-05,116,0.0144488
117,4.69E-05,117,0.0144555
118,4.42E-05,118,0.0144618
119,4.16E-05,119,0.0144677
120,3.91E-05,120,0.0144733
121,3.68E-05,121,0.0144786
122,3.46E-05,122,0.0144835
123,3.26E-05,123,0.0144882
124,3.07E-05,124,0.0144926
125,-10.3183,125,-10
126,-9.92437,126,-10
127,-8.78571,127,-9.29914
128,-7.45604,128,-8.09279
129,-6.09257,129,-6.65443
130,-4.79979,130,-5.22461
131,-3.64416,131,-4.04201
132,-2.66088,132,-2.869
133,-1.84867,133,-2.00593
134,-1.20897,134,-1.27735
135,-0.719661,135,-0.697889
136,-0.360529,136,-0.329572
137,-0.111499,137,-0.0760717
138,0.0517842,138,0.111177
139,0.150084,139,0.201386
140,0.199053,140,0.227009
141,0.213563,141,0.236136
142,0.206167,142,0.229167
143,0.185337,143,0.2064
144,0.157347,144,0.183878
145,0.127133,145,0.14589
146,0.0971738,146,0.124191
147,0.0702919,147,0.102948
148,0.0469434,148,0.0979922
149,0.0279674,149,0.0776199
150,0.0123227,150,0.0734911
151,0.000715493,151,0.0697147
152,-0.00780331,152,0.0662564
153,-0.0137271,153,0.0630823
154,-0.0175464,154,0.0601608
155,-0.0197172,155,0.0574632
156,-0.0206424,156,0.0549641
157,-0.0206644,157,0.0526414
158,-0.0200638,158,0.0504761
159,-0.0190631,159,0.0484522
160,-0.017833,160,0.0465561
161,-0.0164996,161,0.0447764
162,-0.0151521,162,0.0431036
163,-0.0138505,163,0.0415294
164,-0.0126316,164,0.0400468
165,-0.0115153,165,0.0386497
166,-0.0105092,166,0.0373329
167,-0.00961241,167,0.0360915
168,-0.00881884,168,0.0349213
169,-0.00811914,169,0.0338182
170,-0.00750259,170,0.0327785
171,-0.00695817,171,0.0317989
172,-0.00647538,172,0.0308759
173,-0.00604463,173,0.0300066
174,-0.00565749,174,0.0291879
175,-0.00530678,175,0.0284171
176,-0.00498651,176,0.0276914
177,-0.0046918,177,0.0270084
178,-0.00441874,178,0.0263655
179,-0.00416424,179,0.0257605
180,-0.00392589,180,0.0251912
181,-0.00370183,181,0.0246555
182,-0.00349063,182,0.0241514
183,-0.00329118,183,0.0236771
184,-0.00310261,184,0.0232309
185,-0.00292422,185,0.022811
186,-0.00275545,186,0.0224159
187,-0.00259581,187,0.0220442
188,-0.00244486,188,0.0216944
189,-0.00230222,189,0.0213653
190,-0.0021675,190,0.0210556
191,-0.00204034,191,0.0207642
192,-0.00192039,192,0.02049
193,-0.0018073,193,0.020232
194,-0.00170073,194,0.0199892
195,-0.00160035,195,0.0197608
196,-0.00150584,196,0.0195458
197,-0.00141686,197,0.0193435
198,-0.00133312,198,0.0191532
199,-0.00125433,199,0.018974
200,-0.00118019,200,0.0188055
201,-0.00111045,201,0.0186469
202,-0.00104483,202,0.0184976
203,-0.00098311,203,0.0183572
204,-0.000925043,204,0.018225
205,-0.000870416,205,0.0181006
206,-0.000819025,206,0.0179836
207,-0.000770676,207,0.0178735
208,-0.000725188,208,0.0177699
209,-0.00068239,209,0.0176724
210,-0.000642122,210,0.0175806
211,-0.000604234,211,0.0174943
212,-0.000568583,212,0.017413
213,-0.000535037,213,0.0173366
214,-0.000503471,214,0.0172646
215,-0.000473768,215,0.0171969
216,-0.000445817,216,0.0171332
217,-0.000419516,217,0.0170733
218,-0.000394766,218,0.0170168
219,-0.000371476,219,0.0169638
220,-0.00034956,220,0.0169138
221,-0.000328937,221,0.0168668
222,-0.00030953,222,0.0168226
223,-0.000291268,223,0.016781
224,-0.000274083,224,0.0167418
225,-0.000257912,225,0.0167049
226,-0.000242696,226,0.0166703
227,-0.000228376,227,0.0166376
228,-0.000214902,228,0.0166069
229,-0.000202222,229,0.016578
230,-0.000190291,230,0.0165508
231,-0.000179063,231,0.0165252
232,-0.000168498,232,0.0165012
233,-0.000158557,233,0.0164785
234,-0.000149201,234,0.0164572
235,-0.000140398,235,0.0164371
236,-0.000132115,236,0.0164183
237,-0.00012432,237,0.0164005
238,-0.000116985,238,0.0163838
239,-0.000110082,239,0.016368
240,-0.000103587,240,0.0163532
241,-9.75E-05,241,0.0163393
242,-9.17E-05,242,0.0163262
243,-8.63E-05,243,0.0163139
244,-8.12E-05,244,0.0163023
245,-7.64E-05,245,0.0162914
246,-7.19E-05,246,0.0162811
247,-6.77E-05,247,0.0162714
248,-6.37E-05,248,0.0162623
249,-5.99E-05,249,0.0162537
250,10.3183,250,10
251,9.92434,251,10
252,8.78852,252,9.25055
253,7.45329,253,8.0127
254,6.0891,254,6.57455
255,4.79679,255,5.23991
256,3.64455,256,4.00983
257,2.66007,257,2.85275
258,1.84861,258,1.95809
259,1.20814,259,1.24545
260,0.719545,260,0.713553
261,0.361998,261,0.297734
262,0.111491,262,0.0443045
263,-0.0517472,263,-0.12705
264,-0.149526,264,-0.217227
