Time - Sim theta,Amplitude - Sim theta,Time - encoder theta,Amplitude - encoder theta,Time - reference input,Amplitude - reference input
0,0,0,0,0,0
1,0.000529247,1,0,1,0.008
2,0.00190414,2,0,2,0.016
3,0.0042681,3,0,3,0.024
4,0.00764529,4,0.00153398,4,0.032
5,0.0119796,5,0.00306796,5,0.04
6,0.017171,6,0.00460194,6,0.048
7,0.0230984,7,0.0076699,7,0.056
8,0.0296324,8,0.0122718,8,0.064
9,0.0366471,9,0.0168738,9,0.072
10,0.0440306,10,0.0214757,10,0.08
11,0.0516874,11,0.0291456,11,0.088
12,0.0595326,12,0.0352816,12,0.096
13,0.0675034,13,0.0429515,13,0.104
14,0.0755484,14,0.0506214,14,0.112
15,0.0836309,15,0.0582913,15,0.12
16,0.0917252,16,0.0659612,16,0.128
17,0.0998147,17,0.0751651,17,0.136
18,0.107887,18,0.082835,18,0.144
19,0.115937,19,0.0920388,19,0.152
20,0.123963,20,0.0997088,20,0.16
21,0.131968,21,0.107379,21,0.168
22,0.139954,22,0.116583,22,0.176
23,0.147922,23,0.124252,23,0.184
24,0.155879,24,0.131922,24,0.192
25,0.163827,25,0.141126,25,0.2
26,0.171767,26,0.148796,26,0.208
27,0.179704,27,0.156466,27,0.216
28,0.18764,28,0.16567,28,0.224
29,0.195574,29,0.17334,29,0.232
30,0.20351,30,0.182544,30,0.24
31,0.211446,31,0.190214,31,0.248
32,0.219385,32,0.197884,32,0.256
33,0.227328,33,0.205553,33,0.264
34,0.235277,34,0.213223,34,0.272
35,0.24323,35,0.222427,35,0.28
36,0.251186,36,0.230097,36,0.288
37,0.259145,37,0.237767,37,0.296
38,0.267108,38,0.245437,38,0.304
39,0.275075,39,0.253107,39,0.312
40,0.283045,40,0.260777,40,0.32
41,0.29102,41,0.269981,41,0.328
42,0.298994,42,0.277651,42,0.336
43,0.30697,43,0.28532,43,0.344
44,0.314948,44,0.29299,44,0.352
45,0.322928,45,0.302194,45,0.36
46,0.330908,46,0.309864,46,0.368
47,0.338888,47,0.317534,47,0.376
48,0.346869,48,0.325204,48,0.384
49,0.354853,49,0.332874,49,0.392
50,0.362838,50,0.342078,50,0.4
51,0.370823,51,0.349748,51,0.408
52,0.378809,52,0.357418,52,0.416
53,0.386795,53,0.365087,53,0.424
54,0.394783,54,0.372757,54,0.432
55,0.402773,55,0.381961,55,0.44
56,0.410762,56,0.389631,56,0.448
57,0.418751,57,0.397301,57,0.456
58,0.426742,58,0.404971,58,0.464
59,0.434733,59,0.414175,59,0.472
60,0.442723,60,0.421845,60,0.48
61,0.450714,61,0.429515,61,0.488
62,0.458705,62,0.438719,62,0.496
63,0.466165,63,0.446388,63,0.496
64,0.472251,64,0.455592,64,0.488
65,0.4765,65,0.461728,65,0.48
66,0.47875,66,0.46633,66,0.472
67,0.479036,67,0.469398,67,0.464
68,0.477515,68,0.470932,68,0.456
69,0.474411,69,0.470932,69,0.448
70,0.469976,70,0.469398,70,0.44
71,0.464461,71,0.467864,71,0.432
72,0.458098,72,0.464796,72,0.424
