DefaultSC.Earth.TA        DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   DefaultSC.EarthMJ2000Eq.VX   DefaultSC.EarthMJ2000Eq.VY   DefaultSC.EarthMJ2000Eq.VZ   DefaultSC.EarthMJ2000Eq.FPA   DefaultSC.Earth.HMAG      DefaultSC.EarthMJ2000Eq.HX   DefaultSC.EarthMJ2000Eq.HY   DefaultSC.EarthMJ2000Eq.HZ   DefaultSC.Earth.SemilatusRectum   
10.89339464913383         12756.2725999999            22094.51225839855           -4.418548605184316e-12      -2.621168905049652           1.70974297401175             3.124870346388716            87.79577249602733             112745.9077999545         69042.48617419164            -39861.69797819055           79723.39595638108            31890.6814999999                  
11.48863213899305         12598.45380298472           22196.14112787394           187.4895221475302           -2.639416055693395           1.677868174904617            3.124735442839311            87.67607843630566             112745.9077999545         69042.48617419162            -39861.69797819055           79723.39595638108            31890.68149999989                 
13.25021367165238         12124.25714437647           22486.14641050099           743.1585162054977           -2.692029817181218           1.582778979140247            3.122755698994236            87.32257533725246             112745.9077999545         69042.48617419162            -39861.69797819055           79723.39595638111            31890.6814999999                  
18.27461690054992         10714.18330554307           23223.55871429039           2333.024433741769           -2.830325093924462           1.30604214600823             3.104154505311275            86.32153774574459             112745.9077999546         69042.4861741917             -39861.6979781906            79723.39595638119            31890.68149999997                 
24.53823620896583         8840.87552282302            23951.46013727204           4319.307274175253           -2.977069892518591           0.9521936009751728           3.054314956250493            85.09328365547995             112745.9077999556         69042.48617419227            -39861.69797819094           79723.39595638189            31890.68150000052                 
30.91759264413303         6807.515712980839           24465.72323207168           6337.380071932697           -3.095580414049654           0.5857911273003632           2.973746841674732            83.87221935973126             112745.9077999567         69042.48617419298            -39861.69797819133           79723.39595638268            31890.68150000116                 
37.26885180796466         4664.628890896815           24739.79350021177           8330.209631362408           -3.181100237750236           0.2194457468986768           2.86463649132576             82.69483577089291             112745.9077999578         69042.4861741936             -39861.69797819168           79723.39595638339            31890.68150000174                 
43.57142683614011         2429.34178161351            24766.1098410595            10279.1832231775            -3.232901180460883           -0.1411863027249144          2.729181398841368            81.57293112590274             112745.9077999586         69042.48617419414            -39861.69797819199           79723.39595638399            31890.68150000223                 
49.81742565855379         116.2136134517153           24539.36144672393           12169.0367818472            -3.25112397883909            -0.4914266647676631          2.569842624143563            80.51572393829341             112745.9077999594         69042.48617419459            -39861.69797819226           79723.39595638453            31890.68150000265                 
56.00007253315007         -2259.098191926042          24055.465635525             13984.16924161395           -3.23648307495656            -0.8270063574422587          2.389373383109628            79.53208922198813             112745.90779996           69042.486174195              -39861.69797819249           79723.39595638498            31890.68150000301                 
62.11319944238591         -4679.556009256747          23311.80754880018           15708.51815684856           -3.190206215767548           -1.144109099845257           2.190745076243088            78.63062479678258             112745.9077999606         69042.48617419532            -39861.69797819269           79723.39595638537            31890.68150000333                 
68.15164025285485         -7126.825454478027          22307.48295587485           17325.75336985298           -3.113965557161021           -1.439443470358754           1.977051543831831            77.8195629874877              112745.9077999611         69042.48617419566            -39861.69797819288           79723.39595638574            31890.68150000363                 
74.11197746432181         -9581.569346752402          21043.38164420809           18819.5732845139            -3.009783095682686           -1.710302458250598           1.751397391616877            77.10666859652862             112745.9077999615         69042.48617419592            -39861.69797819303           79723.39595638606            31890.68150000387                 
79.99267582604938         -12023.541880627            19522.24549038886           20173.81545728354           -2.879928344597131           -1.954559484364388           1.516811365317786            76.49926777468107             112745.9077999619         69042.48617419618            -39861.69797819319           79723.39595638635            31890.68150000411                 
85.7943732234535          -14431.75917994891          17748.63007423127           21372.58510825068           -2.726812592695098           -2.170643757027878           1.276167098119324            76.00429291041283             112745.9077999624         69042.48617419643            -39861.69797819335           79723.39595638664            31890.68150000435                 
91.51909987317035         -16784.22069862394          15729.17740140739           22400.15020843663           -2.552920000920892           -2.357456153656577           1.032165497798595            75.62843735378586             112745.9077999628         69042.48617419667            -39861.69797819351           79723.39595638693            31890.68150000458                 
97.1702360515591          -19057.94181653102          13472.78976289436           23241.0566384088            -2.360742014495355           -2.514312173473813           0.7873064695973208           75.37820155051732             112745.9077999631         69042.48617419691            -39861.69797819365           79723.39595638719            31890.68150000478                 
102.7520566549896         -21228.84245078921          10991.00501292436           23880.21936178315           -2.152739872565158           -2.640870379789243           0.5438922274864789           75.2599323782698              112745.9077999636         69042.48617419718            -39861.69797819381           79723.39595638751            31890.68150000505                 
108.2694151465018         -23271.75068322192          8298.418011468129           24303.13628794213           -1.931320618942951           -2.73707341631821            0.304036010698175            75.27978240254478             112745.907799964          69042.48617419746            -39861.69797819397           79723.39595638782            31890.68150000529                 
113.727204696897          -25160.42480040742          5413.286938375461           24496.21051634858           -1.698836725712008           -2.803096762401116           0.06968738014801559          75.44357490149829             112745.9077999645         69042.48617419775            -39861.69797819413           79723.39595638815            31890.68150000556                 
119.1306098662143         -26867.98922398793          2357.757523354723           24447.23997825746           -1.457563183105644           -2.839319859766317           -0.1573731856927632          75.75658285138591             112745.907799965          69042.48617419807            -39861.69797819431           79723.39595638853            31890.68150000586                 
124.4848049693459         -28367.29117623416          -841.7089826572736          24145.94030384031           -1.209702154825069           -2.846292676478379           -0.3755135411479054          76.22322546693324             112745.9077999656         69042.48617419842            -39861.69797819451           79723.39595638891            31890.68150000618                 
