Time - Theta_sim,Amplitude - Theta_sim,Time - Theta_Motor,Amplitude - Theta_Motor,Time - Input V,Amplitude - Input V
0,0,0,0,0,0
1,0.000820672,1,0,1,0.128
2,0.00298396,2,0,2,0.256
3,0.00682183,3,0,3,0.384
4,0.0125454,4,0.00153398,4,0.512
5,0.020289,5,0.00306796,5,0.64
6,0.0301379,6,0.0076699,6,0.768
7,0.0421465,7,0.0138058,7,0.896
8,0.0560416,8,0.0214757,8,0.976
9,0.0703159,9,0.0306796,9,0.848
10,0.0840106,10,0.0414175,10,0.72
11,0.096516,11,0.0536893,11,0.592
12,0.107444,12,0.0644272,12,0.464
13,0.116549,13,0.0736311,13,0.336
14,0.123673,14,0.081301,14,0.208
15,0.128717,15,0.0889709,15,0.08
16,0.131617,16,0.0920388,16,-0.048
17,0.132333,17,0.0951068,17,-0.176
18,0.13084,18,0.0951068,18,-0.304
19,0.12712,19,0.0951068,19,-0.432
20,0.121164,20,0.0951068,20,-0.56
21,0.112965,21,0.0920388,21,-0.688
22,0.102518,22,0.0859029,22,-0.816
23,0.0898217,23,0.079767,23,-0.944
24,0.0757969,24,0.0705631,24,-0.928
25,0.0617479,25,0.0582913,25,-0.8
26,0.0485042,26,0.0475534,26,-0.672
27,0.0365934,27,0.0352816,27,-0.544
28,0.0263509,28,0.0245437,28,-0.416
29,0.0179902,29,0.0153398,29,-0.288
30,0.0116469,30,0.00613592,30,-0.16
31,0.00740745,31,0,31,-0.032
32,0.00532664,32,-0.00306796,32,0.096
33,0.00543942,33,-0.00460194,33,0.224
34,0.007768,34,-0.00460194,34,0.352
35,0.0123265,35,-0.00460194,35,0.48
36,0.0191239,36,-0.00460194,36,0.608
37,0.0281659,37,0,37,0.736
38,0.0394562,38,0.00613592,38,0.864
39,0.052997,39,0.0138058,39,0.992
40,0.067251,40,0.0245437,40,0.88
41,0.0811381,41,0.0368155,41,0.752
42,0.093971,42,0.0475534,42,0.624
43,0.105313,43,0.0598253,43,0.496
44,0.114886,44,0.0690291,44,0.368
45,0.122513,45,0.078233,45,0.24
46,0.128082,46,0.0843689,46,0.112
47,0.131521,47,0.0905049,47,-0.016
48,0.132785,48,0.0935728,48,-0.144
49,0.131845,49,0.0951068,49,-0.272
50,0.128683,50,0.0951068,50,-0.4
51,0.123286,51,0.0951068,51,-0.528
