Time - Theta_sim,Amplitude - Theta_sim,Time - Theta_Motor,Amplitude - Theta_Motor,Time - Input V,Amplitude - Input V
0,0.0064115,0,0,0,1
1,0.0169007,1,0,1,1
2,0.0299834,2,0,2,1
3,0.0447154,3,0.0076699,3,1
4,0.0604965,4,0.0199418,4,1
5,0.0769448,5,0.0291456,5,1
6,0.0938174,6,0.0444854,6,1
7,0.11096,7,0.0582913,7,1
8,0.128274,8,0.0736311,8,1
9,0.145697,9,0.0874369,9,1
10,0.16319,10,0.102777,10,1
11,0.180727,11,0.118117,11,1
12,0.198292,12,0.13499,12,1
13,0.215875,13,0.148796,13,1
14,0.233469,14,0.16567,14,1
15,0.25107,15,0.182544,15,1
16,0.268676,16,0.197884,16,1
17,0.286285,17,0.214757,17,1
18,0.303896,18,0.228563,18,1
19,0.321508,19,0.245437,19,1
20,0.33912,20,0.262311,20,1
21,0.356734,21,0.279185,21,1
22,0.374347,22,0.29299,22,1
23,0.391961,23,0.30833,23,1
24,0.409575,24,0.326738,24,1
25,0.427188,25,0.342078,25,1
26,0.444802,26,0.358952,26,1
27,0.462416,27,0.372757,27,1
28,0.48003,28,0.389631,28,1
29,0.497644,29,0.404971,29,1
30,0.515258,30,0.421845,30,1
31,0.532872,31,0.438719,31,1
32,0.537663,32,0.455592,32,-1
33,0.534299,33,0.46633,33,-1
34,0.525748,34,0.469398,34,-1
35,0.513897,35,0.46633,35,-1
36,0.499949,36,0.457126,36,-1
37,0.484667,37,0.446388,37,-1
38,0.468536,38,0.432583,38,-1
39,0.451865,39,0.418777,39,-1
40,0.43485,40,0.404971,40,-1
41,0.417618,41,0.389631,41,-1
42,0.400246,42,0.374291,42,-1
43,0.382787,43,0.357418,43,-1
44,0.365271,44,0.342078,44,-1
45,0.347719,45,0.326738,45,-1
46,0.330145,46,0.311398,46,-1
47,0.312556,47,0.294524,47,-1
48,0.294958,48,0.277651,48,-1
49,0.277354,49,0.262311,49,-1
50,0.259747,50,0.246971,50,-1
51,0.242137,51,0.230097,51,-1
52,0.224526,52,0.216291,52,-1
53,0.206913,53,0.197884,53,-1
54,0.1893,54,0.182544,54,-1
55,0.171687,55,0.16567,55,-1
56,0.154073,56,0.15033,56,-1
57,0.13646,57,0.133456,57,-1
58,0.118846,58,0.118117,58,-1
59,0.101232,59,0.101243,59,-1
60,0.083618,60,0.0843689,60,-1
61,0.0660041,61,0.0690291,61,-1
62,0.0483901,62,0.0521553,62,-1
63,0.0435991,63,0.0368155,63,1
64,0.0469635,64,0.0245437,64,1
65,0.0555148,65,0.0199418,65,1
66,0.0673649,66,0.0245437,66,1
67,0.0813131,67,0.0322136,67,1
68,0.0965956,68,0.0444854,68,1
69,0.112727,69,0.0567573,69,1
70,0.129398,70,0.0705631,70,1
71,0.146412,71,0.0859029,71,1
72,0.163645,72,0.0997088,72,1
73,0.181016,73,0.115049,73,1
74,0.198476,74,0.128854,74,1
75,0.215991,75,0.145728,75,1
76,0.233543,76,0.161068,76,1
77,0.251117,77,0.176408,77,1
78,0.268706,78,0.193282,78,1
79,0.286304,79,0.208621,79,1
80,0.303908,80,0.225495,80,1
81,0.321515,81,0.240835,81,1
82,0.339125,82,0.256175,82,1
83,0.356737,83,0.273049,83,1
84,0.374349,84,0.288388,84,1
85,0.391962,85,0.305262,85,1
86,0.409575,86,0.320602,86,1
87,0.427189,87,0.335942,87,1
88,0.444803,88,0.352816,88,1
89,0.462416,89,0.369689,89,1
90,0.48003,90,0.386563,90,1
91,0.497644,91,0.400369,91,1
92,0.515258,92,0.418777,92,1
93,0.532872,93,0.432583,93,1
94,0.537663,94,0.45099,94,-1
95,0.534299,95,0.461728,95,-1
96,0.525748,96,0.464796,96,-1
97,0.513897,97,0.461728,97,-1
98,0.499949,98,0.452524,98,-1
99,0.484667,99,0.44332,99,-1
100,0.468536,100,0.429515,100,-1
101,0.451865,101,0.415709,101,-1
102,0.43485,102,0.400369,102,-1
103,0.417618,103,0.385029,103,-1
104,0.400246,104,0.369689,104,-1
105,0.382787,105,0.352816,105,-1
106,0.365271,106,0.33901,106,-1
107,0.347719,107,0.322136,107,-1
108,0.330145,108,0.305262,108,-1
109,0.312556,109,0.289922,109,-1
110,0.294958,110,0.274583,110,-1
111,0.277354,111,0.259243,111,-1
112,0.259747,112,0.242369,112,-1
113,0.242137,113,0.225495,113,-1
114,0.224526,114,0.210155,114,-1
115,0.206913,115,0.194816,115,-1
116,0.1893,116,0.176408,116,-1
117,0.171687,117,0.161068,117,-1
118,0.154073,118,0.145728,118,-1
119,0.13646,119,0.128854,119,-1
120,0.118846,120,0.113515,120,-1
121,0.101232,121,0.0966408,121,-1
122,0.083618,122,0.079767,122,-1
123,0.0660041,123,0.0644272,123,-1
124,0.0483901,124,0.0475534,124,-1
125,0.0435991,125,0.0322136,125,1
126,0.0469635,126,0.0184078,126,1
127,0.0555148,127,0.0168738,127,1
128,0.0673649,128,0.0199418,128,1
129,0.0813131,129,0.0291456,129,1
130,0.0965956,130,0.0398835,130,1
131,0.112727,131,0.0521553,131,1
132,0.129398,132,0.0659612,132,1
133,0.146412,133,0.079767,133,1
134,0.163645,134,0.0951068,134,1
135,0.181016,135,0.110447,135,1
136,0.198476,136,0.125786,136,1
137,0.215991,137,0.14266,137,1
138,0.233543,138,0.156466,138,1
139,0.251117,139,0.17334,139,1
140,0.268706,140,0.18868,140,1
141,0.286304,141,0.204019,141,1
142,0.303908,142,0.220893,142,1
143,0.321515,143,0.237767,143,1
144,0.339125,144,0.253107,144,1
145,0.356737,145,0.268447,145,1
146,0.374349,146,0.283786,146,1
147,0.391962,147,0.30066,147,1
148,0.409575,148,0.316,148,1
149,0.427189,149,0.332874,149,1
150,0.444803,150,0.348214,150,1
151,0.462416,151,0.366621,151,1
152,0.48003,152,0.381961,152,1
153,0.497644,153,0.397301,153,1
154,0.515258,154,0.412641,154,1
155,0.532872,155,0.429515,155,1
156,0.550486,156,0.444854,156,1
157,0.555277,157,0.463262,157,-1
158,0.551913,158,0.474,158,-1
159,0.543362,159,0.477068,159,-1
160,0.531511,160,0.474,160,-1
161,0.517563,161,0.464796,161,-1
162,0.502281,162,0.454058,162,-1
163,0.48615,163,0.441786,163,-1
164,0.469479,164,0.427981,164,-1
165,0.452464,165,0.412641,165,-1
166,0.435232,166,0.397301,166,-1
167,0.41786,167,0.381961,167,-1
168,0.400401,168,0.366621,168,-1
169,0.382885,169,0.351282,169,-1
170,0.365333,170,0.334408,170,-1
171,0.347759,171,0.319068,171,-1
172,0.33017,172,0.303728,172,-1
173,0.312572,173,0.286854,173,-1
174,0.294968,174,0.269981,174,-1
175,0.277361,175,0.254641,175,-1
176,0.259751,176,0.239301,176,-1
177,0.24214,177,0.222427,177,-1
178,0.224527,178,0.205553,178,-1
179,0.206914,179,0.191748,179,-1
180,0.189301,180,0.17334,180,-1
181,0.171687,181,0.158,181,-1
182,0.154074,182,0.141126,182,-1
183,0.13646,183,0.124252,183,-1
184,0.118846,184,0.108913,184,-1
185,0.101232,185,0.0935728,185,-1
186,0.0836181,186,0.076699,186,-1
187,0.0660041,187,0.0613592,187,-1
188,0.0612131,188,0.0444854,188,1
189,0.0645775,189,0.0322136,189,1
190,0.0731288,190,0.0291456,190,1
191,0.0849789,191,0.0337476,191,1
192,0.0989271,192,0.0429515,192,1
193,0.11421,193,0.0536893,193,1
194,0.130341,194,0.0659612,194,1
195,0.147012,195,0.079767,195,1
196,0.164026,196,0.0951068,196,1
197,0.181259,197,0.108913,197,1
198,0.19863,198,0.124252,198,1
199,0.21609,199,0.139592,199,1
200,0.233606,200,0.156466,200,1
201,0.251157,201,0.170272,201,1
202,0.268731,202,0.187146,202,1
203,0.28632,203,0.205553,203,1
204,0.303918,204,0.217825,204,1
