Time - Theta_sim,Amplitude - Theta_sim,Time - Theta_Motor,Amplitude - Theta_Motor,Time - Input V,Amplitude - Input V
0,0,0,0,0,0
1,0.000102584,1,0,1,0.016
2,0.000372995,2,0,2,0.032
3,0.000852729,3,0,3,0.048
4,0.00156818,4,0,4,0.064
5,0.00253612,5,0,5,0.08
6,0.00376724,6,0,6,0.096
7,0.00526831,7,0,7,0.112
8,0.00704367,8,0,8,0.128
9,0.00909606,9,0,9,0.144
10,0.0114272,10,0,10,0.16
11,0.0140383,11,0,11,0.176
12,0.0169299,12,0,12,0.192
13,0.0201025,13,0,13,0.208
14,0.0235565,14,0,14,0.224
15,0.027292,15,0.00153398,15,0.24
16,0.0313092,16,0.00306796,16,0.256
17,0.035608,17,0.00460194,17,0.272
18,0.0401885,18,0.00613592,18,0.288
19,0.0450509,19,0.0076699,19,0.304
20,0.050195,20,0.0107379,20,0.32
21,0.0556209,21,0.0122718,21,0.336
22,0.0613287,22,0.0153398,22,0.352
23,0.0673182,23,0.0184078,23,0.368
24,0.0735896,24,0.0214757,24,0.384
25,0.0801428,25,0.0260777,25,0.4
26,0.0869778,26,0.0306796,26,0.416
27,0.0940946,27,0.0352816,27,0.432
28,0.101493,28,0.0398835,28,0.448
29,0.109174,29,0.0460194,29,0.464
30,0.117136,30,0.0521553,30,0.48
31,0.12538,31,0.0567573,31,0.496
32,0.133906,32,0.0628932,32,0.512
33,0.142714,33,0.0705631,33,0.528
34,0.151804,34,0.076699,34,0.544
35,0.161175,35,0.082835,35,0.56
36,0.170828,36,0.0905049,36,0.576
37,0.180763,37,0.0981748,37,0.592
38,0.19098,38,0.105845,38,0.608
39,0.201479,39,0.113515,39,0.624
40,0.212259,40,0.122718,40,0.64
41,0.223322,41,0.131922,41,0.656
42,0.234666,42,0.141126,42,0.672
43,0.246292,43,0.15033,43,0.688
44,0.2582,44,0.158,44,0.704
45,0.27039,45,0.168738,45,0.72
46,0.282861,46,0.179476,46,0.736
47,0.295614,47,0.190214,47,0.752
48,0.30865,48,0.199418,48,0.768
49,0.321967,49,0.211689,49,0.784
50,0.335565,50,0.222427,50,0.8
51,0.349446,51,0.234699,51,0.816
52,0.363608,52,0.246971,52,0.832
53,0.378053,53,0.259243,53,0.848
54,0.392779,54,0.271515,54,0.864
55,0.407787,55,0.28532,55,0.88
56,0.423076,56,0.299126,56,0.896
57,0.438648,57,0.312932,57,0.912
58,0.454501,58,0.325204,58,0.928
