Time - Theta_sim,Amplitude - Theta_sim,Time - Theta_Motor,Amplitude - Theta_Motor,Time - Input V,Amplitude - Input V
0,0.0064115,0,0,0,1
1,0.0169007,1,0,1,1
2,0.0299834,2,0.00460194,2,1
3,0.0447154,3,0.0138058,3,1
4,0.0604965,4,0.0260777,4,1
5,0.0769448,5,0.0383495,5,1
6,0.0938174,6,0.0536893,6,1
7,0.11096,7,0.0674952,7,1
8,0.128274,8,0.0843689,8,1
9,0.145697,9,0.0981748,9,1
10,0.16319,10,0.113515,10,1
11,0.180727,11,0.128854,11,1
12,0.198292,12,0.145728,12,1
13,0.215875,13,0.161068,13,1
14,0.233469,14,0.177942,14,1
15,0.25107,15,0.193282,15,1
16,0.268676,16,0.210155,16,1
17,0.286285,17,0.225495,17,1
18,0.303896,18,0.243903,18,1
19,0.321508,19,0.260777,19,1
20,0.33912,20,0.276117,20,1
21,0.356734,21,0.294524,21,1
22,0.374347,22,0.306796,22,1
23,0.391961,23,0.325204,23,1
24,0.409575,24,0.33901,24,1
25,0.427188,25,0.357418,25,1
26,0.444802,26,0.374291,26,1
27,0.462416,27,0.389631,27,1
28,0.48003,28,0.406505,28,1
29,0.497644,29,0.421845,29,1
30,0.515258,30,0.438719,30,1
31,0.532872,31,0.454058,31,1
32,0.550486,32,0.470932,32,1
33,0.5681,33,0.486272,33,1
34,0.585714,34,0.501612,34,1
35,0.603328,35,0.518486,35,1
36,0.620942,36,0.535359,36,1
37,0.638556,37,0.550699,37,1
38,0.65617,38,0.567573,38,1
39,0.673784,39,0.584447,39,1
40,0.691398,40,0.599786,40,1
41,0.709012,41,0.615126,41,1
42,0.726626,42,0.632,42,1
43,0.74424,43,0.648874,43,1
44,0.761854,44,0.664214,44,1
45,0.779468,45,0.681087,45,1
46,0.797082,46,0.696427,46,1
47,0.814696,47,0.713301,47,1
48,0.83231,48,0.728641,48,1
49,0.849924,49,0.745515,49,1
50,0.867538,50,0.763922,50,1
51,0.885152,51,0.779262,51,1
52,0.902766,52,0.793068,52,1
53,0.92038,53,0.811476,53,1
54,0.937994,54,0.826816,54,1
55,0.955608,55,0.842155,55,1
56,0.973222,56,0.859029,56,1
57,0.990837,57,0.874369,57,1
58,1.00845,58,0.891243,58,1
59,1.02606,59,0.908117,59,1
60,1.04368,60,0.923456,60,1
61,1.06129,61,0.938796,61,1
62,1.07891,62,0.95567,62,1
63,1.0837,63,0.972544,63,-1
64,1.08033,64,0.984816,64,-1
65,1.07178,65,0.98635,65,-1
66,1.05993,66,0.981748,66,-1
67,1.04598,67,0.972544,67,-1
68,1.0307,68,0.960272,68,-1
69,1.01457,69,0.946466,69,-1
70,0.997899,70,0.934194,70,-1
71,0.980885,71,0.917321,71,-1
72,0.963652,72,0.903515,72,-1
73,0.946281,73,0.888175,73,-1
74,0.928821,74,0.872835,74,-1
75,0.911305,75,0.857495,75,-1
76,0.893754,76,0.840621,76,-1
77,0.876179,77,0.825282,77,-1
78,0.858591,78,0.808408,78,-1
79,0.840993,79,0.793068,79,-1
80,0.823389,80,0.776194,80,-1
81,0.805781,81,0.760854,81,-1
82,0.788171,82,0.743981,82,-1
83,0.77056,83,0.728641,83,-1
84,0.752948,84,0.711767,84,-1
85,0.735335,85,0.696427,85,-1
86,0.717721,86,0.67802,86,-1
87,0.700108,87,0.66268,87,-1
88,0.682494,88,0.645806,88,-1
89,0.66488,89,0.628932,89,-1
90,0.647266,90,0.613592,90,-1
91,0.629652,91,0.598253,91,-1
92,0.612038,92,0.581379,92,-1
93,0.594424,93,0.566039,93,-1
94,0.57681,94,0.549165,94,-1
95,0.559196,95,0.532291,95,-1
96,0.541582,96,0.516952,96,-1
97,0.523968,97,0.498544,97,-1
98,0.506354,98,0.483204,98,-1
99,0.48874,99,0.467864,99,-1
100,0.471126,100,0.45099,100,-1
101,0.453512,101,0.435651,101,-1
102,0.435898,102,0.418777,102,-1
103,0.418284,103,0.401903,103,-1
104,0.40067,104,0.385029,104,-1
105,0.383056,105,0.369689,105,-1
106,0.365442,106,0.352816,106,-1
107,0.347828,107,0.337476,107,-1
108,0.330214,108,0.320602,108,-1
109,0.3126,109,0.303728,109,-1
110,0.294986,110,0.288388,110,-1
111,0.277372,111,0.271515,111,-1
112,0.259758,112,0.256175,112,-1
113,0.242144,113,0.239301,113,-1
114,0.22453,114,0.220893,114,-1
115,0.206916,115,0.207087,115,-1
116,0.189302,116,0.190214,116,-1
117,0.171688,117,0.174874,117,-1
118,0.154074,118,0.156466,118,-1
119,0.13646,119,0.139592,119,-1
120,0.118846,120,0.124252,120,-1
121,0.101232,121,0.108913,121,-1
122,0.0836182,122,0.0920388,122,-1
123,0.0660042,123,0.0751651,123,-1
124,0.0483901,124,0.0598253,124,-1
125,0.0435991,125,0.0429515,125,1
126,0.0469635,126,0.0306796,126,1
127,0.0555148,127,0.0291456,127,1
128,0.0673649,128,0.0337476,128,1
129,0.0813131,129,0.0429515,129,1
130,0.0965956,130,0.0521553,130,1
131,0.112727,131,0.0659612,131,1
132,0.129398,132,0.079767,132,1
133,0.146412,133,0.0966408,133,1
134,0.163645,134,0.110447,134,1
135,0.181016,135,0.12732,135,1
136,0.198476,136,0.141126,136,1
137,0.215991,137,0.156466,137,1
138,0.233543,138,0.17334,138,1
139,0.251117,139,0.18868,139,1
140,0.268706,140,0.205553,140,1
141,0.286304,141,0.220893,141,1
142,0.303908,142,0.236233,142,1
143,0.321515,143,0.254641,143,1
144,0.339125,144,0.269981,144,1
145,0.356737,145,0.286854,145,1
146,0.374349,146,0.302194,146,1
147,0.391962,147,0.317534,147,1
148,0.409575,148,0.334408,148,1
149,0.427189,149,0.349748,149,1
150,0.444803,150,0.368155,150,1
151,0.462416,151,0.383495,151,1
152,0.48003,152,0.400369,152,1
153,0.497644,153,0.415709,153,1
154,0.515258,154,0.432583,154,1
155,0.532872,155,0.447922,155,1
156,0.550486,156,0.464796,156,1
157,0.5681,157,0.480136,157,1
158,0.585714,158,0.49701,158,1
159,0.603328,159,0.51235,159,1
160,0.620942,160,0.529223,160,1
161,0.638556,161,0.544563,161,1
162,0.65617,162,0.561437,162,1
163,0.673784,163,0.576777,163,1
164,0.691398,164,0.593651,164,1
165,0.709012,165,0.60899,165,1
166,0.726626,166,0.625864,166,1
167,0.74424,167,0.641204,167,1
168,0.761854,168,0.659612,168,1
169,0.779468,169,0.674952,169,1
170,0.797082,170,0.690291,170,1
171,0.814696,171,0.707165,171,1
172,0.83231,172,0.725573,172,1
173,0.849924,173,0.740913,173,1
174,0.867538,174,0.756253,174,1
175,0.885152,175,0.773126,175,1
176,0.902766,176,0.786932,176,1
177,0.92038,177,0.803806,177,1
178,0.937994,178,0.82068,178,1
179,0.955608,179,0.837554,179,1
180,0.973222,180,0.852893,180,1
181,0.990837,181,0.869767,181,1
182,1.00845,182,0.885107,182,1
183,1.02606,183,0.901981,183,1
184,1.04368,184,0.917321,184,1
185,1.06129,185,0.93266,185,1
186,1.07891,186,0.949534,186,1
187,1.09652,187,0.964874,187,1
188,1.10131,188,0.983282,188,-1
189,1.09795,189,0.995554,189,-1
190,1.0894,190,0.998621,190,-1
191,1.07755,191,0.99402,191,-1
192,1.0636,192,0.984816,192,-1
193,1.04832,193,0.974078,193,-1
194,1.03218,194,0.960272,194,-1
195,1.01551,195,0.944932,195,-1
196,0.998499,196,0.931126,196,-1
197,0.981266,197,0.917321,197,-1
198,0.963895,198,0.900447,198,-1
199,0.946435,199,0.886641,199,-1
200,0.928919,200,0.871301,200,-1
201,0.911368,201,0.854427,201,-1
202,0.893793,202,0.839087,202,-1
203,0.876205,203,0.822214,203,-1
204,0.858607,204,0.806874,204,-1
205,0.841003,205,0.79,205,-1
206,0.823395,206,0.77466,206,-1
