Sat.UTCGregorian           Sat.EarthMJ2000Eq.X       Sat.EarthMJ2000Eq.Y       Sat.EarthMJ2000Eq.Z       Sat.Earth.RadApo          Sat.Earth.RadPer          Sat.Earth.Energy          Sat.Earth.SMA             Sat.Earth.SemilatusRectum   Sat.Earth.HMAG            Sat.EarthMJ2000Eq.VX      Sat.EarthMJ2000Eq.VY      Sat.EarthMJ2000Eq.VZ      
14 Sep 2024 02:22:53.268   28552.86359944587         7507.575568024386         50610.58191005993         102011.8130843786         17993.34282377554         -3.321527633404923        60002.57795407707         30590.91104897127           110424.4114768432         -1.567620319567859        1.521962441385008         -1.479538408662804        
14 Sep 2024 02:59:12.996   24997.45903135113         10781.2819272536          47135.29281672884         102012.8325615489         17993.46815477246         -3.321495947468937        60003.15035816069         30591.13801721781           110424.8211212065         -1.696516465512398        1.477550117609836         -1.715078133741474        
14 Sep 2024 03:32:19.279   21502.45862258644         13654.1223273743          43487.15355692091         102013.7757045955         17993.58498101001         -3.321466610237775        60003.68034280273         30591.3492620375            110425.2023857274         -1.824334049522363        1.409891405022211         -1.964508362570943        
14 Sep 2024 04:02:07.662   18130.25414296854         16097.39203749947         39746.45972444451         102014.6224668321         17993.68825443467         -3.321440316127737        60004.15536063338         30591.5365865863            110425.5404767244         -1.948291468070616        1.316229417841257         -2.225242090024509        
14 Sep 2024 04:26:01.087   15262.79689843086         17911.19970598656         36388.51451532002         102015.2867839121         17993.76707560949         -3.321419748601533        60004.52692976079         30591.68036921537           110425.7999807841         -2.0533120281667          1.20874588657206          -2.465036913101048        
14 Sep 2024 04:46:43.668   12653.17720566095         19338.57862239221         33182.50797943988         102015.8408557157         17993.83082042308         -3.321402649743709        60004.8358380694          30591.79740637408           110426.0112132067         -2.147326330637989        1.082732467134067         -2.699712160407935        
14 Sep 2024 05:05:02.324   10247.97122962451         20451.35082240402         30091.42029682666         102016.303451877          17993.88247056038         -3.321388417459962        60005.09296121867         30591.89285117001           110426.1834747405         -2.231013905679442        0.9366831054673566        -2.931364088435985        
14 Sep 2024 05:21:28.577   8011.262416963881         21295.57796338234         27088.86935151115         102016.6870683177         17993.92425675464         -3.321376644106182        60005.30566253616         30591.97048934361           110426.3235981681         -2.304182773483547        0.7686101643372593        -3.161021489485453        
14 Sep 2024 05:36:25.437   5916.540426978279         21901.74941263818         24153.02518153789         102017.0005439747         17993.95792890924         -3.321367036578266        60005.47923644199         30592.03324730648           110426.4368652681         -2.365968117578725        0.5759585421746465        -3.389020473394182        
14 Sep 2024 05:50:09.277   3946.571471726969         22288.80388352487         21269.10425459496         102017.2498211714         17993.98484826923         -3.321359392709413        60005.61733472029         30592.08335953721           110426.5273089593         -2.41475240410017         0.3559169783708065        -3.614667914617583        
14 Sep 2024 06:03:50.277   1948.398168874565         22473.54251391985         18204.28497239766         102017.451540541          17994.00758722467         -3.321353180746224        60005.72956388285         30592.12529189412           110426.6029893717         -2.450093476191184        0.08436803805950635       -3.853456944609556        
14 Sep 2024 06:16:29.051   82.74361578806364         22424.2181909059          15193.74301638972         102017.5867058148         17994.02484003132         -3.321348962535422        60005.80577292304         30592.15630319596           110426.6589591975         -2.463645174597355        -0.2247404634116965       -4.082699857861034        
14 Sep 2024 06:26:38.637   -1417.355596285445        22198.98031682497         12648.43956762353         102017.6525822825         17994.03606993755         -3.321346828600152        60005.84432611004         30592.1754947657            110426.6935965172         -2.454464650101477        -0.5222065184659316       -4.267844933096485        
14 Sep 2024 06:36:43.477   -2893.030988460426        21781.28484347924         10012.84788723679         102017.6743830937         17994.04495592644         -3.321345979337208        60005.85966951008         30592.18931715775           110426.7185434334         -2.420239840431294        -0.8679033194148876       -4.445416810744635        
14 Sep 2024 06:45:53.693   -4209.548118989673        21206.03592394437         7525.435235996887         102017.6520347154         17994.05119248987         -3.321346425234651        60005.85161360262         30592.19732553805           110426.732997108          -2.359904306186265        -1.231158676800956        -4.593112248632143        
14 Sep 2024 06:54:12.985   -5367.789729244339        20500.09516155969         5202.834575524188         102017.5940183943         17994.05545557117         -3.321347912866324        60005.82473698272         30592.20087811822           110426.7394088706         -2.274134562507977        -1.603432517943215        -4.706274825665712        
14 Sep 2024 07:01:53.552   -6390.862776429646        19675.59302147074         3016.316782615817         102017.5072030479         17994.05833983403         -3.321350235678528        60005.78277144097         30592.20114314993           110426.7398872047         -2.162943207535238        -1.982470134223745        -4.78341021160917         
14 Sep 2024 07:09:06.650   -7299.110405992652        18734.5900345512          934.7999499815946         102017.3962634072         17994.06026029042         -3.321353252814593        60005.72826184879         30592.1989305945            110426.7358939437         -2.025608209045337        -2.367132679090398        -4.822601165683333        
14 Sep 2024 07:16:01.894   -8107.177315664928        17671.45547375737         -1068.869562970044        102017.264304805          17994.06150082596         -3.32135687048045         60005.66290281546         30592.19479034445           110426.7284215434         -1.86079867517911         -2.75606345648825         -4.820812449409249        
14 Sep 2024 07:22:48.092   -8824.690432519055        16472.67066484698         -3019.135556535161        102017.1133083623         17994.06225938295         -3.321361028373509        60005.58778387261         30592.18909753882           110426.718147061          -1.666548941863198        -3.147352932072006        -4.7736244715254          
14 Sep 2024 07:29:34.374   -9456.82180004289         15114.29603752868         -4940.331617744842        102016.9443428029         17994.06267804045         -3.321365692988241        60005.50351042167         30592.18210555865           110426.7055278028         -1.440033351950416        -3.538381724695912        -4.674768399609262        
14 Sep 2024 07:36:26.244   -9997.455894141769        13577.47627912032         -6835.362529140516        102016.760110577          17994.06286257917         -3.321370786609457        60005.41148657809         30592.17408878177           110426.6910589703         -1.180665869240568        -3.920645388040243        -4.517596821296479        
14 Sep 2024 07:43:01.760   -10411.33579779706        11958.52184991144         -8583.273172231131        102016.5772768614         17994.06290705827         -3.321375845417819        60005.32009195985         30592.16593244339           110426.6763382526         -0.9091317239752281       -4.260267412202272        -4.312367614363073        
14 Sep 2024 07:47:50.058   -10643.68983160632        10697.57255093465         -9801.025875308196        102016.4443881619         17994.06290759292         -3.321379523191965        60005.25364787742         30592.15995822182           110426.6655558604         -0.7018004087881943       -4.4833500385547          -4.131324307218051        
